                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.8134,                 1.3874,                 1.1711,                0.67937,                0.42388,                0.37078,                0.15842,                 1.9468,                 1.3183,                 1.2057,              0.0007162,              0.0007162,              0.0007162
                     46,                 1.7775,                 1.4027,                 1.1824,                0.69553,                0.41499,                0.37846,                0.15758,                  1.982,                 1.3208,                 1.2173,              0.0007096,              0.0007096,              0.0007096
                     47,                 1.7763,                 1.3909,                 1.1747,                 0.6974,                0.41412,                0.41427,                0.16558,                 1.9358,                 1.3556,                 1.1996,               0.000703,               0.000703,               0.000703
                     48,                  1.768,                  1.385,                 1.1915,                 0.6938,                0.42024,                 0.4235,                0.17744,                 1.8898,                 1.3917,                 1.1827,              0.0006964,              0.0006964,              0.0006964
                     49,                 1.7357,                 1.3442,                 1.2199,                0.68603,                0.42565,                0.39322,                0.17348,                 1.8833,                  1.415,                  1.178,              0.0006898,              0.0006898,              0.0006898
                     50,                 1.7136,                 1.4003,                 1.1862,                0.47682,                0.44732,                0.38977,                0.16857,                 1.8749,                 1.4196,                 1.1696,              0.0006832,              0.0006832,              0.0006832
                     51,                 1.7739,                 1.3329,                 1.1897,                0.54594,                0.48761,                0.40958,                0.16696,                  1.871,                 1.3706,                 1.1733,              0.0006766,              0.0006766,              0.0006766
                     52,                 1.7711,                 1.3256,                 1.1808,                0.55355,                0.49856,                0.42644,                0.17789,                  1.912,                 1.3401,                 1.1894,                0.00067,                0.00067,                0.00067
                     53,                 1.7481,                 1.3303,                 1.1748,                0.55749,                0.43736,                0.38968,                0.16499,                 1.9386,                 1.3151,                 1.1932,              0.0006634,              0.0006634,              0.0006634
                     54,                 1.7464,                 1.3399,                 1.1741,                0.58671,                0.51764,                0.43381,                0.19091,                 1.8886,                 1.3079,                  1.165,              0.0006568,              0.0006568,              0.0006568
                     55,                 1.7523,                 1.3233,                 1.1983,                0.56588,                0.49249,                0.41537,                0.17719,                 1.8503,                 1.3011,                 1.1433,              0.0006502,              0.0006502,              0.0006502
                     56,                 1.7508,                 1.3539,                 1.1557,                 0.5533,                0.50159,                0.43025,                0.18777,                  1.814,                 1.3033,                  1.127,              0.0006436,              0.0006436,              0.0006436
                     57,                 1.6903,                 1.2819,                 1.1694,                0.54091,                0.43989,                0.44082,                0.20705,                 1.7745,                 1.2876,                 1.1106,               0.000637,               0.000637,               0.000637
                     58,                 1.7107,                 1.3244,                 1.1704,                0.48756,                0.49529,                0.44528,                0.21617,                 1.7473,                 1.2808,                 1.0996,              0.0006304,              0.0006304,              0.0006304
                     59,                 1.7378,                    1.3,                 1.1712,                0.51013,                0.49119,                0.42164,                0.20053,                 1.7767,                 1.2793,                 1.1194,              0.0006238,              0.0006238,              0.0006238
                     60,                 1.7833,                    1.3,                 1.1466,                0.48595,                0.51208,                0.41435,                0.18274,                 1.8387,                 1.2789,                 1.1442,              0.0006172,              0.0006172,              0.0006172
                     61,                 1.7739,                 1.2874,                 1.1533,                0.48915,                0.48474,                 0.4044,                0.19065,                  1.824,                 1.2655,                 1.1384,              0.0006106,              0.0006106,              0.0006106
                     62,                 1.7497,                 1.2596,                 1.1676,                0.50039,                0.48839,                0.41825,                0.21054,                 1.7253,                 1.2274,                 1.1079,               0.000604,               0.000604,               0.000604
                     63,                 1.7945,                 1.2729,                 1.1745,                0.77893,                0.35022,                0.43364,                0.21977,                 1.6983,                  1.214,                 1.1027,              0.0005974,              0.0005974,              0.0005974
                     64,                 1.7128,                 1.2855,                 1.1782,                0.77971,                0.34738,                0.44031,                0.22953,                 1.7044,                  1.197,                 1.1096,              0.0005908,              0.0005908,              0.0005908
                     65,                 1.6942,                  1.246,                  1.176,                0.50231,                0.49549,                0.43538,                0.21661,                  1.814,                 1.2066,                 1.1428,              0.0005842,              0.0005842,              0.0005842
                     66,                 1.7198,                 1.2408,                  1.167,                0.52918,                0.48334,                0.43635,                0.21945,                 1.8634,                 1.2146,                 1.1637,              0.0005776,              0.0005776,              0.0005776
                     67,                 1.7336,                 1.2978,                 1.1934,                0.55393,                0.48295,                0.44758,                0.23191,                 1.8263,                 1.2213,                 1.1527,               0.000571,               0.000571,               0.000571
                     68,                 1.6616,                 1.2143,                 1.1365,                0.62708,                0.49617,                0.57539,                0.27279,                 1.7367,                 1.2193,                 1.1239,              0.0005644,              0.0005644,              0.0005644
                     69,                 1.7361,                 1.2916,                 1.1739,                0.65191,                0.48433,                0.53754,                0.28133,                 1.7141,                  1.217,                 1.1153,              0.0005578,              0.0005578,              0.0005578
                     70,                 1.6942,                 1.2413,                 1.1348,                0.62696,                0.54099,                0.53288,                0.27289,                 1.7512,                 1.2158,                 1.1264,              0.0005512,              0.0005512,              0.0005512
                     71,                  1.714,                 1.2464,                 1.1366,                0.61975,                0.56254,                0.51941,                  0.262,                 1.8028,                 1.2001,                 1.1435,              0.0005446,              0.0005446,              0.0005446
                     72,                 1.7005,                  1.225,                 1.1526,                0.64366,                0.54524,                0.52057,                0.26394,                  1.788,                 1.1841,                 1.1375,               0.000538,               0.000538,               0.000538
                     73,                 1.7092,                 1.2483,                 1.1601,                0.61399,                 0.5598,                0.51563,                0.25846,                 1.7258,                  1.176,                  1.118,              0.0005314,              0.0005314,              0.0005314
                     74,                 1.6772,                 1.2006,                 1.1222,                0.54469,                 0.6155,                0.52213,                0.26651,                 1.6973,                 1.1751,                 1.1113,              0.0005248,              0.0005248,              0.0005248
                     75,                  1.719,                 1.2154,                 1.1318,                 0.7573,                0.46729,                0.53098,                0.26617,                 1.6842,                 1.1604,                 1.1097,              0.0005182,              0.0005182,              0.0005182
                     76,                 1.6737,                 1.2008,                 1.1778,                0.79199,                0.45669,                 0.5424,                0.25802,                 1.7444,                 1.1626,                 1.1319,              0.0005116,              0.0005116,              0.0005116
                     77,                 1.6783,                 1.1811,                 1.1585,                0.79482,                0.45836,                0.51172,                0.25248,                 1.7977,                 1.1739,                  1.154,               0.000505,               0.000505,               0.000505
                     78,                 1.6446,                 1.1753,                 1.1749,                0.78965,                0.45226,                0.52452,                0.25178,                 1.7705,                 1.1944,                 1.1469,              0.0004984,              0.0004984,              0.0004984
                     79,                 1.6279,                 1.1901,                 1.1307,                0.79171,                0.43894,                0.52235,                0.25398,                  1.743,                 1.2264,                 1.1358,              0.0004918,              0.0004918,              0.0004918
                     80,                 1.6603,                  1.191,                 1.1532,                0.75029,                 0.4807,                0.52186,                0.25543,                 1.7244,                 1.2213,                 1.1253,              0.0004852,              0.0004852,              0.0004852
                     81,                 1.6948,                 1.2454,                 1.1493,                0.55973,                0.63539,                0.51711,                0.23987,                 1.7252,                  1.207,                 1.1175,              0.0004786,              0.0004786,              0.0004786
                     82,                 1.6164,                 1.2458,                 1.1605,                0.60654,                0.50956,                0.51959,                0.24585,                  1.743,                 1.1846,                 1.1227,               0.000472,               0.000472,               0.000472
                     83,                 1.7333,                 1.2283,                 1.1381,                0.58481,                0.51897,                0.48961,                0.20977,                 1.8258,                 1.1956,                 1.1563,              0.0004654,              0.0004654,              0.0004654
                     84,                 1.6905,                 1.2211,                 1.1549,                0.57211,                0.52234,                0.49262,                0.20118,                 1.8601,                 1.2157,                 1.1692,              0.0004588,              0.0004588,              0.0004588
                     85,                   1.69,                 1.2199,                 1.1372,                0.65466,                0.40921,                0.52303,                0.23155,                 1.7963,                 1.1846,                 1.1441,              0.0004522,              0.0004522,              0.0004522
                     86,                 1.6437,                 1.1991,                 1.1789,                 0.6774,                0.42639,                0.52408,                 0.2566,                 1.7233,                 1.1486,                 1.1173,              0.0004456,              0.0004456,              0.0004456
                     87,                 1.5953,                 1.1354,                 1.1243,                  0.641,                0.52552,                0.52773,                0.26283,                  1.706,                 1.1308,                 1.1104,               0.000439,               0.000439,               0.000439
                     88,                 1.6384,                 1.1685,                  1.105,                0.74566,                0.42002,                0.48884,                0.25409,                 1.7161,                 1.1214,                 1.1153,              0.0004324,              0.0004324,              0.0004324
                     89,                 1.5958,                 1.1066,                 1.1217,                  0.714,                0.43603,                0.49745,                0.24244,                 1.7352,                 1.1253,                 1.1239,              0.0004258,              0.0004258,              0.0004258
                     90,                 1.6535,                 1.1983,                 1.1551,                0.67036,                0.44701,                0.49185,                0.23626,                 1.7761,                 1.1307,                 1.1362,              0.0004192,              0.0004192,              0.0004192
                     91,                 1.6372,                 1.1767,                 1.1416,                0.59608,                0.54997,                0.49817,                0.23704,                 1.8049,                 1.1299,                 1.1418,              0.0004126,              0.0004126,              0.0004126
                     92,                  1.663,                 1.1343,                 1.1288,                0.60562,                 0.6197,                0.53977,                0.25865,                 1.7563,                 1.1284,                 1.1245,               0.000406,               0.000406,               0.000406
                     93,                  1.643,                 1.1759,                 1.1237,                0.62974,                0.52614,                0.51907,                0.25886,                 1.7523,                 1.1193,                 1.1228,              0.0003994,              0.0003994,              0.0003994
                     94,                 1.5706,                 1.1417,                 1.1196,                0.63928,                0.51259,                0.52762,                0.24392,                 1.7271,                 1.1136,                  1.117,              0.0003928,              0.0003928,              0.0003928
                     95,                 1.5798,                 1.1017,                 1.0888,                0.64487,                0.57416,                 0.5631,                0.25701,                 1.7035,                 1.1154,                 1.1109,              0.0003862,              0.0003862,              0.0003862
                     96,                 1.5832,                 1.1446,                 1.1005,                0.65214,                0.49749,                0.56319,                0.26099,                 1.7257,                 1.1366,                 1.1186,              0.0003796,              0.0003796,              0.0003796
                     97,                 1.6028,                 1.1312,                  1.119,                0.65057,                0.47994,                0.56577,                0.25997,                 1.7421,                 1.1507,                 1.1227,               0.000373,               0.000373,               0.000373
                     98,                 1.5465,                 1.0734,                  1.099,                 0.6972,                0.44667,                 0.5637,                0.25055,                 1.7708,                 1.1487,                 1.1305,              0.0003664,              0.0003664,              0.0003664
                     99,                 1.6339,                 1.1007,                 1.1331,                 0.6915,                0.43956,                0.53634,                0.23539,                 1.8323,                 1.1557,                 1.1462,              0.0003598,              0.0003598,              0.0003598
